uri	english	language	translation
http://data.europa.eu/esco/skill/ab0deac2-b872-45c8-ad65-657938d2fe79	solar thermal energy systems for hot water and heating	bg	системи за слънчева топлинна енергия за топла вода и отопление
http://data.europa.eu/esco/skill/2c6a9858-76a4-4c64-8854-1bc52abd65ba	macro-regional strategy	bg	макрорегионална стратегия
http://data.europa.eu/esco/skill/2879e8f6-037a-49ed-ba73-6f7d7766223e	food waste monitoring systems	bg	системи за наблюдение на хранителните отпадъци
http://data.europa.eu/esco/skill/df64a7cc-2e96-4304-95d3-56fe0ac2dd39	design thinking	bg	проекционно мислене
http://data.europa.eu/esco/skill/f9a6f35b-01a7-40c9-8b61-b6ee46f97272	operating systems	bg	операционни системи
http://data.europa.eu/esco/skill/d0fc1d32-c64d-4b53-923f-953f648715ab	carpooling services	bg	услуги за съвместно ползване на автомобили
http://data.europa.eu/esco/skill/63f9a5bc-f070-46a6-bea7-c6b9e9dbacc3	envelope systems for buildings	bg	системи за сградни обвивки
http://data.europa.eu/esco/skill/f3880260-ef21-401c-a64f-a96f21dc968a	last types	bg	видове калъпи
http://data.europa.eu/esco/skill/8034a1ea-5ee0-4a84-8fd3-16411c8d86fb	agroforestry	bg	агролесовъдство
http://data.europa.eu/esco/skill/86f0bb12-6491-4be7-8306-c88900e91a63	green bonds	bg	„зелени“ облигации
http://data.europa.eu/esco/skill/88ec9e5e-8798-475d-81a3-dd5ea7e96215	qualitative risk analysis techniques	bg	техники за качествен анализ на риска
http://data.europa.eu/esco/skill/c65ac31c-fdaf-4e87-beca-8ed952c3aa35	biogas energy production	bg	производство на енергия от биогаз
http://data.europa.eu/esco/skill/d03dbfd1-0415-4a3a-8d2b-ff4dfff06bc8	reinsurance	bg	презастраховане
http://data.europa.eu/esco/skill/9ccb56ee-3d5f-4d48-8692-8f96fe1e4adb	solar absorption cooling system	bg	система за слънчево абсорбционно охлаждане
http://data.europa.eu/esco/skill/9aabb257-530a-4a38-83c8-35ca52caa954	rubber technology	bg	технология за обработка на каучук
http://data.europa.eu/esco/skill/457c2e47-07e6-4073-827e-e1c21f3e5869	evaluation theory and model	bg	теория и модел на оценяването
http://data.europa.eu/esco/skill/b01444aa-6f62-4b7d-ab30-4385a9148580	personal reflection techniques based on feedback	bg	техники за размисъл върху себе си, основани на обратна връзка
http://data.europa.eu/esco/skill/f03a3387-c4a7-41e3-a5d4-dd4577147940	integrated design	bg	интегриран дизайн
http://data.europa.eu/esco/skill/3d294b92-1024-48bc-999e-5c5d687659d9	development economics	bg	икономика на развитието
http://data.europa.eu/esco/skill/bdb4f02e-72d5-41ca-a662-0498dc3fb070	health technology assessment 	bg	оценка на здравните технологии
http://data.europa.eu/esco/skill/0aabb61b-5382-490a-bf44-375858f9cd3e	types of tidal stream generators	bg	видове генератори, използващи енергията на приливите и отливите
http://data.europa.eu/esco/skill/dada8e80-2a53-41bf-9eac-f8c1f9971bed	sustainable building materials	bg	устойчиви строителни материали
http://data.europa.eu/esco/skill/1ffac4ac-fda7-407d-8ed1-ca8f4a8dc146	Angular	bg	Angular
